gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
,group B,high school,standard,complete,55,66,57
undisclosed,group C,high school,free/reduced,,72,79,97
female,group E,associate's degree,standard,complete,77,53,85
male,group E,bachelor's degree,standard,not complete,75,50,32
male,group E,college,standard,not complete,92,100,45
undisclosed,group C,college,free/reduced,complete,427,61,58
male,group D,high school,free/reduced,not complete,45,85,52
male,group C,associate's degree,free/reduced,complete,58,54,38
male,group A,high school,free/reduced,not complete,100,95,47
male,group D,college,standard,not complete,77,51,45
female,group C,Associate's degree,standard,Not complete,94,41,45
male,group C,associate's degree,standard,not complete,55,47,39
female,group C,college,free/reduced,not complete,60,37,70
female,group C,bachelor's degree,standard,complete,90,34,75
male,group C,associate's degree,standard,not complete,91,72,61
undisclosed,group D,bachelor's degree,free/reduced,complete,75,58,36
male,Group D,college,free/reduced,complete,52,54,58
male,group E,high school,standard,not complete,36,85,88
female,group D,high school,free/reduced,complete,36,100,73
female,group E,master's degree,standard,not complete,91,91,64
female,group A,college,standard,complete,77,31,55
male,group C,bachelor's degree,standard,not complete,45,70,1056
female,Group A,associate's degree,free/reduced,not complete,52,90,47
female,group A,high school,free/reduced,not complete,89,79,72
female,group B,high school,free/reduced,not complete,76,42,71
female,group E,college,standard,complete,30,49,71
female,group D,College,standard,complete,88,50,56
male,group A,high school,standard,complete,36,360,39
female,group A,high school,standard,not complete,73,792,100
female,group A,college,Standard,complete,71,68,95
female,group A,high school,free/reduced,complete,92,96,81
male,group B,bachelor's degree,standard,complete,65,92,99
male,group A,college,,not complete,72,41,67
female,group D,college,standard,not complete,63,78,38
female,group E,college,standard,complete,54,34,75
male,group B,college,standard,complete,30,41,60
female,group E,college,free/reduced,Not complete,100,61,89
male,group C,high school,free/reduced,complete,100,75,88
other,group E,college,free/reduced,complete,80,48,82
male,group D,college,free/reduced,not complete,75,54,52
undisclosed,group B,high school,free/reduced,not complete,95,66,40
undisclosed,group D,associate's degree,standard,not complete,90,76,57
male,group B,college,standard,complete,34,85,43
female,group D,associate's degree,standard,not complete,76,55,44
undisclosed,group C,high school,free/reduced,complete,55,91,84
male,group B,associate's degree,free/reduced,complete,71,95,59
female,group D,college,free/reduced,not complete,65,45,91
male,group D,college,free/reduced,not complete,57,30,68
female,group C,college,free/reduced,,100,87,94
female,group E,bachelor's degree,free/reduced,complete,43,89,59
male,group A,college,Standard,complete,64,58,79
male,group B,college,standard,complete,95,53,39
female,group E,bachelor's degree,standard,complete,78,60,52
male,group D,associate's degree,free/reduced,not complete,96,66,100
female,group A,college,free/reduced,not complete,38,55,87
male,group C,bachelor's degree,standard,not complete,63,69,80
female,group C,high school,standard,complete,73,56,60
male,group B,high school,free/reduced,Complete,89,31,85
male,group B,bachelor's degree,free/reduced,complete,43,68,37
female,group B,high school,standard,not complete,88,76,88
male,group E,high school,free/reduced,not complete,92,46,62
female,group B,bachelor's degree,standard,complete,71,49,65
male,group E,college,standard,not complete,36,73,84
male,group B,bachelor's degree,standard,not complete,97,876,61
female,group B,high school,standard,complete,92,73,61
female,group D,master's degree,free/reduced,complete,34,81,76
female,group E,bachelor's degree,free/reduced,not complete,70,51,62
male,group B,associate's degree,free/reduced,not complete,96,100,47
female,group B,high school,free/reduced,not complete,77,86,56
undisclosed,group B,high school,standard,complete,89,74,93
male,group C,high school,free/reduced,complete,58,80,693
male,group D,associate's degree,free/reduced,not complete,49,48,39
female,group A,college,standard,complete,53,98,90
male,group A,associate's degree,free/reduced,complete,45,83,36
other,group C,college,free/reduced,not complete,86,70,33
female,group D,associate's degree,free/reduced,complete,64,93,83
male,group C,associate's degree,standard,complete,93,39,37
male,group A,associate's degree,standard,complete,64,66,75
male,group A,college,standard,not complete,86,58,49
female,group B,associate's degree,free/reduced,not complete,31,80,99
male,group E,bachelor's degree,standard,complete,88,99,34
other,group C,college,free/reduced,not complete,58,40,85
,group A,college,standard,complete,60,100,38
female,group B,associate's degree,,complete,36,31,98
male,group D,bachelor's degree,free/reduced,complete,40,41,48
female,group B,college,standard,not complete,76,87,90
other,group A,college,standard,not complete,70,41,54
male,group B,associate's degree,free/reduced,complete,55,62,88
undisclosed,group B,college,standard,complete,55,99,48
female,group D,high school,Standard,not complete,32,93,69
female,group D,associate's degree,free/reduced,complete,86,79,81
undisclosed,group D,master's degree,standard,not complete,41,480,62
male,group A,associate's degree,free/reduced,not complete,75,99,31
male,group A,associate's degree,free/reduced,not complete,75,99,31
male,group E,high school,free/reduced,Not complete,97,47,44
female,group A,bachelor's degree,standard,complete,87,76,45
female,group C,bachelor's degree,standard,not complete,67,43,77
male,group A,high school,free/reduced,complete,57,58,37
male,group D,high school,free/reduced,complete,99,81,73
female,group D,high school,free/reduced,not complete,93,78,42
female,group E,college,free/reduced,,34,48,64
female,group B,associate's degree,free/reduced,not complete,90,84,71
male,group B,high school,free/reduced,not complete,33,66,88
other,group B,high school,free/reduced,complete,87,63,55
female,group E,college,free/reduced,complete,34,36,47
female,group E,high school,standard,not complete,43,99,61
female,group C,bachelor's degree,standard,not complete,31,96,39
,group D,college,free/reduced,complete,59,91,47
male,group C,college,standard,complete,51,93,85
undisclosed,group B,college,free/reduced,not complete,82,86,61
female,group E,high school,Standard,complete,36,97,62
female,group E,high school,standard,not complete,83,86,62
undisclosed,group E,bachelor's degree,standard,complete,67,53,73
male,group C,college,free/reduced,not complete,62,50,68
male,group A,bachelor's degree,Free/reduced,complete,87,55,46
male,group B,high school,free/reduced,complete,97,57,64
male,group E,college,standard,not complete,49,946,58
female,group D,high school,standard,complete,54,98,73
male,group C,college,standard,complete,73,45,76
female,group A,high school,free/reduced,,97,52,98
female,group C,bachelor's degree,standard,not complete,98,60,79
female,group A,high school,standard,not complete,70,77,84
male,group B,high school,free/reduced,complete,43,88,81
other,group B,college,standard,not complete,33,87,55
male,group D,high school,standard,not complete,86,94,83
female,group C,high school,free/reduced,complete,76,89,62
,group A,associate's degree,free/reduced,complete,84,67,39
male,group B,bachelor's degree,standard,complete,60,57,78
male,group D,associate's degree,standard,not complete,64,48,82
female,group C,bachelor's degree,free/reduced,complete,50,96,59
undisclosed,group A,high school,standard,not complete,81,82,42
female,group E,college,standard,complete,77,51,33
male,group C,high school,,complete,57,61,64
other,group D,high school,free/reduced,complete,80,65,96
male,group A,associate's degree,standard,not complete,48,31,94
female,group D,high school,free/reduced,complete,80,98,45
male,group D,master's degree,free/reduced,complete,50,89,98
male,group A,master's degree,standard,not complete,75,54,76
male,group E,associate's degree,standard,complete,48,74,84
female,group A,college,standard,not complete,77,48,54
male,group B,bachelor's degree,free/reduced,not complete,70,78,91
female,group A,associate's degree,standard,not complete,35,91,91
male,group E,master's degree,free/reduced,complete,78,99,47
female,group C,college,free/reduced,not complete,42,66,55
female,group B,associate's degree,free/reduced,Complete,52,75,92
male,group B,college,standard,complete,59,89,540
female,group A,high school,standard,complete,32,89,33
Female,group A,college,standard,complete,51,1032,34
male,group B,high school,free/reduced,,78,61,41
,group C,college,standard,complete,93,58,33
female,group A,associate's degree,free/reduced,not complete,76,61,77
female,group C,high school,standard,not complete,38,88,55
male,group B,bachelor's degree,free/reduced,not complete,59,82,40
male,group E,high school,free/reduced,complete,70,89,43
female,group C,high school,free/reduced,not complete,39,53,36
female,group A,college,free/reduced,not complete,95,48,82
female,group B,high school,free/reduced,not complete,64,96,34
,group C,high school,standard,complete,46,66,92
female,group D,high school,standard,complete,31,60,86
male,group E,bachelor's degree,free/reduced,complete,73,70,86
male,,high school,free/reduced,not complete,32,65,57
male,group D,associate's degree,standard,not complete,39,50,51
other,group B,associate's degree,Standard,complete,87,49,44
male,group E,college,free/reduced,not complete,62,57,56
female,group A,college,standard,not complete,35,50,77
male,group A,college,standard,complete,49,76,90
other,group A,bachelor's degree,free/reduced,complete,31,52,63
other,group A,college,free/reduced,not complete,39,36,41
,group C,high school,free/reduced,not complete,50,65,48
male,group E,,standard,complete,67,95,82
female,group E,high school,free/reduced,complete,40,66,40
female,group E,college,standard,not complete,40,38,88
male,group D,college,standard,complete,44,75,74
male,group E,college,free/reduced,not complete,83,38,90
female,group B,high school,free/reduced,complete,59,42,40
female,group D,college,free/reduced,not complete,41,61,45
female,group D,associate's degree,free/reduced,complete,79,76,45
